Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Blocker,Blocker Status,Comment,Comment,Comment,Comment,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
4777169,Quality Assurance,quality assurance,,,,epic,,,"May 20, 2021",,,,All the work required to test and make sure the application works as requried.,https://www.pivotaltracker.com/epic/show/4777169,,,,,,,,,,,,,,,,,,,,,,,,,
4777165,Password Vault,password vault,,,,epic,,,"May 20, 2021",,,,"This is all the work required for a user to view their passwords, generate and store new passwords, modify existing ones.",https://www.pivotaltracker.com/epic/show/4777165,,,,,,,,,,,,,,,,,,,,,,,,,
4777163,Login/Registration,login/registration,,,,epic,,,"May 20, 2021",,,,"All the work required for a user to be able to log into the application, or register for an account if they don't have one. This would also handle sessions, logging out, encryption of credentials, etc.",https://www.pivotaltracker.com/epic/show/4777163,,,,,,,,,,,,,,,,,,,,,,,,,
4777162,UI Mockups,ui mockups,,,,epic,,,"May 20, 2021",,,,"Design of the user interface, will contain stories for creating the design of the UI. This should include wireframes, data flow, navigation, and semi-detailed page design. ",https://www.pivotaltracker.com/epic/show/4777162,,,,,,,,,,,,,,,,,,,,,,,,,
4777161,Proof of concepts / Dev work,proof of concepts,,,,epic,,,"May 20, 2021",,,,"This epic is for creating small, rough proof of concepts which can be used as reference and to vet the various libraries we want to use.",https://www.pivotaltracker.com/epic/show/4777161,,,,,,,,,,,,,,,,,,,,,,,,,
178225144,Python/Flask application poc,"login/registration, proof of concepts",1,"May 18, 2021","May 24, 2021",chore,,accepted,"May 20, 2021","May 20, 2021",,fxp,Create a Flask based Python application which renders pages based on templates. Also figure out how to serve static content like .css style files.,https://www.pivotaltracker.com/story/show/178225144,fxp,,,,,"Created a small template which uses Flask and renders pages based on templates. Also styles the pages using GitHub's styling. (fxp - May 20, 2021)",,,,,,,,,,,,,,,,,,,
178224440,Create wireframes for the pages,ui mockups,2,"May 25, 2021","May 31, 2021",feature,2,accepted,"May 20, 2021","May 27, 2021",,fxp,"As a user, I want to have a nice experience when viewing each page in the application, so that I enjoy the application.",https://www.pivotaltracker.com/story/show/178224440,Kayla Bayusik,abdew,,,,"	Landing Page
- Login button
- Register button

Login Page
- form 
- Login button
- Register button
- Forgot My Password button
- Back button

Register Page
- form
- Register button
- Login button
- Back button

Forgot My Password
- form
- Back button
- Submit button

Vault
- table
- New Account button

Account
- table / form
- Edit button
- Delete button
- Back button

New Account
- form
- Back button
- Create button
- Generate Password button (abdew - May 20, 2021)","	@abdew I'm wondering if we can skip the back button and let the user just use their browser's back button. 🤔 (fxp - May 20, 2021)","I think I'll leave that detail up to @kbayusik ! (abdew - May 20, 2021)","	@abdew For the Vault page, can we rename the ""New Account"" button to something like ""New Entry"" or ""New Vault Entry"" or ""New Password""
 (fxp - May 23, 2021)","	@fxp @kbayusik I just watched the recording and agree that the back button can be a nice-to-have feature. I also agree that we can rename the button to create a new account in the vault.

How are the wireframes coming along? Can I view them somewhere? (abdew - May 24, 2021)","I see three mockups in the UI Mockups folder. @fxp made a good point, that we may not need to offer a Forgot Password feature. This feature can be difficult to implement (abdew - May 24, 2021)",Login,completed,Register,completed,Forgot My Password,completed,Vault,completed,Account [show/edit],completed,Account [new],completed,,
178224386,Encrypt passwords for user login,"login/registration, proof of concepts",2,"May 25, 2021","May 31, 2021",chore,,accepted,"May 20, 2021","May 31, 2021",,fxp,"As a user, I want my login account password to be stored in an encrypted format, so my information is protected from database leaks",https://www.pivotaltracker.com/story/show/178224386,Andrew Klimentyev,,,,,,,,,,,Hash the user password before storing it in the database,completed,Verify the password entered during login is correct without exposing the stored password,completed,,,,,,,,,,
178310490,Create the main PassMan application,login/registration,2,"May 25, 2021","May 31, 2021",chore,,accepted,"May 27, 2021","May 31, 2021",,fxp,Combine the Flask+SQLite pocs and create the main PassMan application.,https://www.pivotaltracker.com/story/show/178310490,fxp,,,,,,,,,,,Study SQLite poc (FX) - 1h,completed,Combine the Flask and SQLite pocs (FX) - 1h,completed,Implement functionality for the login and registration pages (FX) - 2h,completed,Write documentation (FX) - 1h,completed,,,,,,
178310334,Create password complexity requirements,login/registration,2,"May 25, 2021","May 31, 2021",feature,1,accepted,"May 27, 2021","May 31, 2021",,fxp,"As a new user, I want to ensure my created password meets a sufficient length and complexity standard, so that I can be confident that my password and account are secure.",https://www.pivotaltracker.com/story/show/178310334,fxp,Zhaowei Gu,,,,"Given that the user is trying to sign up for PassMan, when they type their desired password and it meets the complexity required by PassMan, then PassMan should accept their sign up request and create an account for them. The user should then be able to go to the login screen and login using their new account. (fxp - May 31, 2021)","Given that the user is trying to sign up for PassMan, when they type their desired password and it does not meet the complexity required by PassMan, then PassMan should not accept their sign up request, and display an appropriate error message letting them know that their password did not meet the complexity requirements. The user account should not be created and the user should not be able to login from the login screen. (fxp - May 31, 2021)",,,,,UI - display complexity requirements to the user (FX) - 0.2 h,completed,Backend - check password complexity requirements (FX) - 0.5 h,completed,Manually test various combinations from the UI (FX) - 0.2 h,completed,,,,,,,,
